微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwbjFxXHE,#奶爸鸡汤辟谣系列#026奶爸请问一个问题，之前网上有一个新闻是说阿里巴巴里面有一个女高管，原来是做文员的，就是帮忙打杂印材料什么的，然后就顺便帮别人定在一起，整理好。从小事上面做的特别的细致，特别的好，然后被上级主管注意到了，最后做到了主管的位置，所以说做行政支持岗其实也是可以做的很好的吗？这个鸡汤概括下就是：把手头的事情做到极致，你就会自然发光，不论多么差的岗位，都能迎来春天。这个故事大概率是真的，不过这里有一个问题。大部分小白，对于：手头的事情这个概念，理解有很大偏差。我这种老油条一看就知道。手头的事情做到极致，这个事情分两类：1，把行政杂事处理好，2，把老板马屁拍好，在公司里广结善缘，人人都认识，人人都喜爱。大部分小白只能理解到第一层次，所以这辈子活该做牛做马。故事里的什么女文员，打印材料细心，帮忙，被上级注意到，最后做了主管，然后逐步升职。这里最重要的地方是“被上级注意到”，而不是“打印材料细”。没有被上级注意，你活做出花来也没屁用。而且职场上根本就不存在，我活做的好，上级自然会注意到我这种好事，想多了。上级很忙的，根本不会翻你牌子，爱干干，不干滚。这个还是我们的高层关系理论。把工作做好，效率最大化，和跟上司搞好关系，和同事搞好关系，和办公室大家搞好关系。是两码事。是两个系统，两套方法。都需要精通。希望我说的足够明白了。                原图                            ,http://wx2.sinaimg.cn/large/94900170gy1gcbb05xgi2j20jg0ax74t.jpg,无,无,2020-02-27 21:58,微博 weibo.com,719,97,75
IwbfPDtxe,拆迁户的问题，超纲了，我没这个体验。欢迎房产高手来答。 原图,http://wx2.sinaimg.cn/large/94900170gy1gcbaqbg80zj20hs12i1gc.jpg,无,无,2020-02-27 21:49,微博 weibo.com,790,23,214
IwbeE3KtF,奶爸，你总说富人先购买资产，用资产自动产生的收益，我认同这个观点，可是穷人的储蓄和资源有限，怎样才像富人那样钱生钱答：20多岁的时候，工资永远是你收入的大头。这个时候重点研究求职，升职，适度理财和储蓄——以及佛系运营自媒体。但这时候大头仍然主要是打工。我们提到的什么升维降维，商业潮流，商业常识，高层关系等等，都是紧紧围绕着这个目的。工作得当，在30岁前，有个30万到手的年入，是不难的。这时候基本就可以考虑入手房产了，小户型的。入手房产后，基本人生就能进入快车道，只要你能忍住结婚生孩，结婚还好，生娃是极其严重的负债，也是导致现在的年轻人无法致富的一个重大障碍。以上仅针对一二线城市。普通城市的人，基本家里都有点余粮，考个编制，有公积金，家里出点赶紧把房买了，然后做做基金理财，保持个固定收益，就不错了。生娃可以生，反正小地方育儿成本也不算太高，老人也都可以帮你带。以上就是大致的策略，更具体的，回头我邀请一些实操的高手来讲讲。我自己比较擅长自媒体，求职，升职，职业规划，个人IP打造，还有创业和商业经营，这方面的课我先做好了，再找实操高手谈谈基金和炒股。                                ,无,无,无,2020-02-27 21:46,微博 weibo.com,997,305,255
IwaK55GqA,现在咋啥样的垃圾都能成老师？这个老师所谓的赚钱，无非就是死工资，做兼职，没一个是资产和现金流收入。不断的打工，不断的省吃俭用买贵重物品，永远没有积蓄，买不起房，不敢创业，做不了产业，收不了租，一辈子如同无根浮萍，永远不敢辞职，仿佛条被铁链牢牢拴住的狗，过了40多体力衰弱了，干不动了，朝不保夕，动荡凄惨。她应该庆幸自己有编制，如果没编制，年纪稍大点，真的狗都不如。资本家最爱这种傻逼人肉干电池，正确的做法是什么？富人先购买资产，用资产自动产生的收益再来购买奢侈品，而中产和穷人最热衷于用自己打工的血汗钱来购买奢侈品。问题在于如果你真的买了两套房，开始收租的时候，所有的“消费陷阱”，都不容易骗到你。因为体验到了“资产”的好处，然后对消费就没啥太大感觉了，会不自觉的想要继续投资，继续钱生钱。                原图                            ,http://wx4.sinaimg.cn/large/94900170ly1gcb88gkdbvj20ty0vaakq.jpg,无,无,2020-02-27 20:30,iPhone 8 Plus,1654,191,241
IwaCHDCuL,反正我注定买不起房，那不如买买奢侈品让自己开心开心。这种观点让我想起了那个著名笑话：你今年45岁了，抽烟几十年，要是不抽烟省下钱，现在都买得起法拉利了。医生你抽烟不？不抽啊。那你法拉利呢？就停在楼下，咋了？——————————————————————人生这么长，20多岁的人多长点脑子，多想想自己四五十岁时候的生活，比现在过一天是一天要强。                                ,无,无,无,2020-02-27 20:12,iPhone 8 Plus,1742,140,146
IwavO7LU3,#奶爸鸡汤辟谣系列#025女孩收入达到多高时可以购买奢侈品？年轻女孩大部分都爱漂亮、爱赶时髦，会想偶尔买一些奢侈品点缀一下自己。但是奢侈品的价格确实不菲，女生应该在达到多少收入（或有持有多少存款）时才算合理地购买奢侈品？特别对于刚开始工作的女生来说，购买奢侈品算过分（或逞强）吗？对刚毕业踏上工作岗位的人来说，哪些牌子算得上是奢侈品？30 岁呢？40 岁呢？（比如有些人把 MK/COACH 归为奢侈，有些把 B、C、D、P、L 归为奢侈。）是应该多存钱，还是应该及时享乐？有没有什么理财建议给予年轻刚工作的女孩？这个问题是知乎上的撕逼重灾区，无数人现身说法讲理财，讲消费，讲收入，能装的B全给他们装遍了。唯独没人提到一个永恒真理，基本常识：富人买入资产，中产阶级买入自以为是资产的负债，穷人只有支出。这一句话，就把这个问题彻底定调了。为什么你这么穷，永远也没办法成为富人？因为你这傻叉只对消费感兴趣，对资产毫无概念。啥叫资产？黄金，投资，房，生意，产业，这些都叫资产。资产就是可以帮你源源不断产生现金流的东西。在没有稳健的资产之前，整天琢磨消费是一件非常愚蠢的事情。但中产就喜欢钻研这些屁用没有的玩意儿。钱花出去，不能带来任何收益，但是感觉这是人上人，精英，优秀，高贵，上流阶层，高级。狗屁，这些是上流社会的资本家，割你这傻叉韭菜搞出来的概念。所以说，中产总是买入自以为是资产的负债，就这个道理。我买了，我提升了自己，不就是资产了么？根据这条真理，我们对这个问题基本可以盖棺论定：两个选择：1，拥有一家公司，自己完全不管一个月，也可以为自己赚钱，2，两套房以上，其中一套已经有了稳定的租户。至少达到这两个标准其中之一，才可以考虑购买奢侈品。按这个道理来说，普通人可能一辈子都没法购买奢侈品，岂不是很悲催？是的，一辈子都没法购买奢侈品，但一点都不悲催。人生最大的悲催是韭菜根都被薅秃了。为什么网上流行各种什么“年薪百万”过的也很惨压力太大的故事？因为这些傻叉自以为是的认为有死工资，打工当社畜，就可以过的很好了，可以奢侈了。车卖掉，打车或者公交地铁上班，孩子不要上贵族学校，就上普通幼儿园，老婆不要在家，让她出去上班，房子买小点，不要背那么严重的债务，老婆不要买奢侈品，已经有的赶紧卖掉，出国游断掉，日常普通生活，迪卡侬优衣库足够，千方百计想办法省钱，有第一点积蓄和稳定经济状态，立刻把房抵押出去，然后买第二套房，租出去，收到租金，租偿贷。以此不断复制，才能慢慢成为真正稳定的大产阶级，而不是整天唯唯诺诺，一有裁员就心惊肉跳，天天24小时哭泣，随时可能压力过大崩溃跳楼，第二天上社会新闻。打工社畜，没有资产，自以为是的进行高消费，这这群所谓高收入傻叉们悲惨人生的根源。                原图                            ,http://wx1.sinaimg.cn/large/94900170gy1gcb7gbn7jgj20gx0cpn02.jpg,无,无,2020-02-27 19:55,微博 weibo.com,2569,862,472
IwajxvwSR,#奶爸鸡汤辟谣系列#024好看女孩自带烧钱属性。本鸡汤为假。好看的女孩自带省钱属性：皮肤天生白皙光洁，不需要花钱买太多护肤品化妆品，头发天生黑亮发量多，不需要花钱植发护发素，身材好，天生臀翘胸大腰细，随便练两周马甲线就出来，不需要浪费钱报私教课，穿什么衣服都好看，不需要费尽心机和时间琢磨搭配和买大牌服饰。只有本身不那么好看，又想变好的女孩，才要烧钱。皮肤不太好，花钱护理，头发不太好，花钱护理和植额角，身材不太好，花钱运动。颜值气质不佳，花钱买昂贵衣物包首饰，打理形象。但是变美这种事，终究是有极限的，靠外力，不论如何也不可能成为大美人。不要指望靠外力。良好作息，早睡早起，适度运动，充足营养，保持好苗条有力，学会基本的平价穿搭，外表整洁干净，大方得体即可。一边节衣缩食的买着昂贵的神仙水，一边熬夜导致内分泌失调满脸大油光，正在做这种事的人，不在少数。最重要的是：有钱了，可以肆意追求变美，没钱，就接受自己，做好预期管理，想办法变有钱，再追求美。这个逻辑不能反过来。要量力而为，这是最重要的。人生最糟糕并不是不美，大家都是颜值普通人。最糟糕的是没继续，没存款，全部都是大牌收割完毕，一丁点抗风险能力都没有。朴素也是美，爱惜自己就是美，不要把花钱无度，和变美捆绑在一起。量力而为。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gcb6kj9yqaj20dw0dwtdv.jpg,无,无,2020-02-27 19:25,微博 weibo.com,2204,221,286
Iwa96kzpS,有关下属跟领导出门吃饭，要端茶倒水此后到位的说法，补充两句：自尊越高的人，架子其实放的越低，自尊越薄弱人格越低的人，架子反而放的越高，动不动一点小事就无限拔高。吃饭时候做东，给人端茶倒水照顾到位，这种事我一直都做，从我进入职场第一天就做，一直做到现在。是的没错哪怕我现在有自己的下属和员工，我也是给他们端茶倒水的，这一点随便问公司同事都知道。但有一点例外，那就是如果有外人在场。比如有个投资人，客户，外部的朋友，合作商，我带着助理去。如果我继续端茶倒水服务到位，给对方倒茶，那么必然也要顺手给助理也倒茶。对我来说无所谓，但是在外人眼里，看起来就非常奇怪，领导给下属倒茶，这家公司是怎么回事，领导是否还有权威。如果遇到特别主动，特别能来事的客人呢？对方给我倒茶也就罢了，顺带着肯定也要给助理也倒茶，这就更奇怪了，我们作为客人，失了重大礼数。所以双方领导见面，餐桌上的基本礼仪，包括南方人的洗餐具等等，都是必须由下属来做，才显得不奇怪。所以即便是我，出门招待客人，只要助理在场，都由他倒茶。这是基本社交礼仪。不是教人做奴才。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gcb5u2j2qjj20u01hc7ch.jpg,无,无,2020-02-27 18:59,微博 weibo.com,961,124,104
Iwa1RfvyF,领导的酒局不是让你去发挥的，而是让你去伺候领导的，乖乖当好服务员，端茶倒水，迎来送往，笑脸对待。 原图,http://wx4.sinaimg.cn/large/94900170gy1gcb59hpej7j20u01hcqa9.jpg,无,无,2020-02-27 18:41,微博 weibo.com,1970,103,277
Iw9ZIdd86,#奶爸鸡汤辟谣系列#023奶爸，您好！从TED看到“每个人都有自己生活的节奏，不要让外界去打乱你”，评论下面还都是认同的声音，似乎这样的人生才精彩。但是从我自己得经历以及最近看您的微博来看，我觉得要想过的好一些的确需要按一些公式去做，比如：高中就应该好好学习，考个大学，大学就得实习，了解商业知识，提前做好毕业准备…要是不这样去做，我发现生活就会很艰难，想问一下您对这句话怎么看？答：道德经第五章：圣人不仁，以百姓为刍狗。整个人类历史，基本就是由极少数“圣人”往前推动的，百姓的作用就是刍狗，被煽动着利用做事，形成势力，宰杀了来吃。说白了就是镰刀和韭菜的关系。少部分圣人成长起来，大部分人从小就是陪太子读书，说好听点叫消费市场，其实就是韭菜。所以为什么会有大量什么个人幸福感，什么自己的生活节奏这类鸡汤话语？因为真相太黑暗，太可怕，刍狗们接受不了，只能编出点屁话让刍狗们觉得心理舒适，然后继续自由自在的混吃等死当个造粪机器。你不能和刍狗们谈真实。真实是什么？创业就是比打工有价值，创业者必然比打工者平均素质高，考名牌大学的智商就是高，考不上的智商就是不高，赚到钱的，必然比赚不到钱的要优秀，搞科学发明，学术研究，商业事业，必然比什么周游世界诗和远方感悟人生来的高级。想过的好一些就是必须按公式去做，比如：高中就应该好好学习，考个大学，大学就得实习，了解商业知识，提前做好毕业准备…要是不这样去做，生活就一定会很艰难！人要参差百态，多元化，人各有志，但事实就是：创造永远比消费高级，进取永远比享受优越。“每个人都有自己生活的节奏，不要让外界去打乱你”这种话，拿过来稍微改改，立刻就成为旅游app和gap year的广告标语，呼吁着一大堆人去毕业放空自己，多见见这个世界。你看，完美~如果你不想停留在刍狗阶段，不论你的能力有没有达到圣人的等级，最起码，你可以看清真实，面对真实，接受真实。接受自己是刍狗的现实，最起码有利于你做到这两点：未雨绸缪，亡羊补牢。而不是听着鸡汤，正事不干。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gcb55g2fxoj21hc0u0b29.jpg,无,无,2020-02-27 18:36,微博 weibo.com,627,163,103
Iw9gDtt76,自媒体创业的高级阶段无非就是三类：电商，教育培训，传媒。电商就是我粉丝多了，导流到淘宝店或者小程序微店里去，然后靠着产品店铺的口碑，慢慢自然发酵，教育培训也差不多，靠着课程来口碑发酵，慢慢扩散，知识变现也仅仅是教育培训的不完成体。媒体就是传统最常见的，杂志报纸，文章本身不赚钱，卖广告给客户赚钱。前两者的客户就是粉丝自己，产品是自己的货跟课，所以相对还好一点，不需要夺人眼球，标新立异。但做传媒的，商品不是自己研发的，商品就是粉丝本身，客户是企业。表面看他们是卖广告，但如果没有粉丝流量，广告卖不出价格，所以商品不是广告，而是粉丝。所以搞传媒生意模式的人，压根不会把粉丝当人看，根本也不会在乎黑粉多少，多少人谩骂。一个热点出来，必然有人骂有人捧，那就开三个公众号，把夸的，骂的，中立的，都写一遍，所有人群全部覆盖到位。这样卖广告，才卖得出价格。《武汉的悲剧，我在日本看了遍重播》，阅读量10万+，在看4.1万，这个号叫青年大院——注册主体是北京浮光跃金文化传媒有限公司。《疫情中的日本，不全是你想象的那样》，阅读量10万+，在看1.0万，这个号叫野火青年——注册主体是北京浮光跃金文化传媒有限公司。《不要出门，不要唱赞歌，不要忘记正遭受的苦难》，阅读量2.1万，在看749，这个好叫地球上所有夜晚——注册主体仍然还是北京浮光跃金文化传媒有限公司。有趣的是底下的评论，这些网友可能不知道自己认真评论的，认真反驳的，支持的，批判的，仇恨的，拥戴的，观点和写手，其实都在同一件办公室上班，彼此互相加油一起数钱。            [组图共9张]    原图                            ,"http://ww2.sinaimg.cn/large/94900170ly1gcb1xjfnh5j20yi1pcb29.jpg,http://ww2.sinaimg.cn/large/94900170ly1gcb1xk0wegj20yi1pc43w.jpg,http://ww2.sinaimg.cn/large/94900170ly1gcb1xlo6gmj20yi1pcavn.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcb1xnzqtej20yi1pchdt.jpg,http://ww3.sinaimg.cn/large/94900170ly1gcb1xhprb9j20yi1pcgqx.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcb1xp2zsdj20yi1pckc1.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcb1xqc0bij20yi1pcb29.jpg,http://ww1.sinaimg.cn/large/94900170ly1gcb1xqyj2ej20yi1pc440.jpg,http://ww1.sinaimg.cn/large/94900170ly1gcb1xs0md5j20yi1pch6g.jpg",无,无,2020-02-27 16:45,iPhone 8 Plus,1355,386,151
Iw93wzYjD,公众号赚钱主要靠软文+带货模式，一篇软文至少20到30万吧，社畜中层985毕业得意忘形四处吹嘘的offer一年收入也就人一天赚的。这个所谓的创始人号称没赚钱，不是为了钱而是为了理想。我觉得他的理想肯定跟小丑一样。 [组图共5张]原图,"http://ww1.sinaimg.cn/large/94900170ly1gcb0obweelj20yi1pc4qp.jpg,http://ww3.sinaimg.cn/large/94900170ly1gcb133ir60j21pc0yi7f7.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcb133zeblj21pc0yi12i.jpg,http://ww3.sinaimg.cn/large/94900170ly1gcb1331hnmj21pc0yiqdn.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcb134d5u3j21pc0yi7ch.jpg",无,无,2020-02-27 16:13,iPhone 8 Plus,457,43,75
Iw8XwwIlA,奶爸好，有哪些高情商美剧类似《鹿鼎记》《铁齿铜牙纪晓岚》这样教科书做人做事职场学习吗？  因疫情期间困在家里，想补充英文版的高情商学习，之前您推荐过迷男方法，参谋助手论等，都收获颇丰，奶爸如有英文版的相关电影或电视剧推荐，那真的是大爱了答：看电视其实就是为了消遣，学不到啥东西，看跟没看没两样，不要自欺欺人。既然知道什么参谋助手论，那就应该广泛阅读，越多越好，什么二号首长，国画，人性的弱点，影响力，原则啥的，都上。一个真理：一个人这辈子能赚到的钱，和他看过的电视剧时长，严格成反比。                                ,无,无,无,2020-02-27 15:58,微博 weibo.com,631,120,138
Iw8wJgxo1,知乎微博的一堆人吹逼，搞的很高端的样子，让大家都焦虑恐慌又自卑。我接到好几个来信，都说因为穷，自卑，害怕，不敢跟人打交道怎么办？这个就是我们的语文和历史课还有逻辑课教育的不到位。问大家一个问题：你们认为是穷人可以骄傲，还是富人可以骄傲？按照狭隘的小资心理，肯定是富人可以骄傲，因为富人有资本，对吧。大错特错！富人骄傲，膨胀了，他就会利令智昏，就会犯错，他就会失去富贵。穷人才最应该骄傲！穷人骄傲了，他能失去穷困吗？怎么可能？既然无论如何你都不会失去什么，那你还自卑个屁，担心个屁，大胆抬起头，自信做人。这个道理就是司马光在资治通鉴里写的道理，我认为是青少年教育的绝对真理：《贫贱者可以骄傲待人》魏国太子子击出来玩，看到田子方就赶紧下车恭敬行礼，田子方却当没看到，太子怒气冲冲的问，是富贵的人可以骄傲待人，还是贫贱的人可以骄傲待人？田子方说当然是贫贱者可以骄傲待人了。富贵者骄傲待人就不得人心，失去富贵，我贫贱我骄傲得罪人，穿鞋跑路，到哪还得不到贫贱吗？我没啥可失去的，干嘛要自卑？干嘛不应该骄傲？                原图                            ,http://wx3.sinaimg.cn/large/94900170gy1gcayog7lq3j20jg0jgth3.jpg,无,无,2020-02-27 14:52,微博 weibo.com,1289,219,144
Iw8aI9zu7,做事业必然要打造团队做管理，做管理绕不开的就是做恶人，做坏人。但不论怎么做恶人，都要注意“平衡”二字。执着于虚伪的善良，手下人不怕你，团队管不好，废物领导，大家一起玩完，沉迷于权力的快感，膨胀虚浮，团队人都憎恨厌恶，还是大家一起玩完。有趣的是，这两种极端心理，是相互转化的。很多基层管理者，刚上位，手下有员工能力差，不敢开除，畏手畏脚。上了几次领导力课程，跟前辈请教几次，胆子大了，心也狠了，犹豫了好久，最终开了，发现问题一下子就解决了，舒爽。多开几次，从此以后就爱上了这种感觉，员工看到自己就噤若寒蝉，大气不敢出一声，自己越来越得意嚣张，从此整个团队都死一般沉寂，无人再敢说什么不同意见。领导做的仿佛皇帝，以骂人为乐，以开人为乐。这种，就是从未掌握过权力，到最后被权力腐蚀堕落的过程，下场都不咋滴，团队战斗力也有限。厉害的管理者一定要时刻自省，提防自己过于圣母，提防自己被权力腐化。基本的方法就是：1，赏大于罚严格控制好比例，如果你一天骂了一个人，那么当天至少要去夸奖团队的一个人，如果你骂了一个人一次，那么至少要夸奖一个人2-3次，才能调动起他的工作积极性。2，做好招聘和面试，尽可能在源头把关，不要老是开除人，3，骂人时候对事不对人，可以说这个活怎么做的？简直一坨屎，太垃圾了！拿回去重做！但绝对不要上升到人，你他妈是猪啊，动过外科手术屁股和脑子调换了啊？你大学干嘛吃的？白痴。评价事，怎么过分都可以，但绝对不要上升到人，只要一次，造成的恶劣影响都是无法挽回的。最简单的方法就是，骂人时候不要用“你”作主语，用“这个项目”，“这件事”，“这个活”做主语。4，能力强的人多发工资，给机会，给资源。以上是酷吏型领导，不断上升，还能保持清醒自我的好方法。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gcax46duu8j20u30u0x6q.jpg,无,无,2020-02-27 13:58,微博 weibo.com,655,250,65
Iw7ZKvQQg,奶爸您好，想请教“犯错没关系，需要的是从犯错中学习”是毒鸡汤吗？我的课题合作者每开始做一件新任务，即使我提前告诉他需要规避的坑在哪，他也要犯三次互不相同的“本可避免”的错误才步入正轨。后来他不主动问我就不提建议和要求了。但我们是合作，一方的错误损失其实最后是拖延了团队的时间，更何况很多是由于不细心谨慎犯的低级错误。其实我很愤怒和无奈，也产生了自我怀疑，是不是我太严苛了，应该接纳别人的错误，给别人机会成长，不能指责和埋怨。现在我的三观很混乱，我不知道做事方面对别人严苛和宽容的界限在哪里？ 分不清什么样的错误可以被接纳，什么样的不能？希望您告诉我怎样的心态是正确的，感激不尽！答：这个不是鸡汤，是确实有用。但这个和你遇到的情况是两码事。具体分析就不说了，只说对自我要求高，聪明，能力强的人，在团队合作的时候，有什么方法论。方法论就三点：1，在没有权力的时候，忍。比如你现在的课题合作者，你没法换一个，那没办法，忍，慢慢调解自己。2，在有权力的时候，要做到心狠手辣。在职场上心狠手辣的人有两种。一种是无能，喜欢玩弄权术，热爱整人，把手下人折腾的死去活来，他才开心。这种是吃饱了撑的，另一种是极端的全能，各方面都做的非常强，对下属极其严苛，也就是所谓的酷吏。如果你的性格里天生带有这种能力强，侵略性高，无法容忍无能者，那么掌握权力，比如当领导或者创业后，那就没必要忍，直接干掉，这样能够确保团队的战斗力。3，心狠手辣的同时，要恩威并施不要一味的骂人，还要懂得夸人，而且要舍得给钱。以上就是我的管理三板斧，相信每一个想往上走的人，都会遇到这个问题，希望提前对大家有用~                原图                            ,http://wx1.sinaimg.cn/large/94900170gy1gcaw8f7lw6j20cb0cc0sw.jpg,无,无,2020-02-27 13:31,微博 weibo.com,271,162,23
Iw7BC6BqK,视频制作剪辑拍摄，这种技术门槛很低，智商高于70都能做好，B站大量免费视频，参考做就行，何同学也教过，尤其不错。视频最核心的是创意和内容，不是硬技术，这类创意说白了就是模仿，要关注大量同领域的大号，认真分析学习。连知名账号都没看过就说要做视频，不搜索不实践，只想着交钱，这不是好习惯。注定被割韭菜。还是那句话，能用钱解决的问题不是问题，赚钱的问题用钱解决不了，所以才是大问题。最后，做自媒体最多算业余爱好，远远达不到副业的程度，醒醒                原图                            ,http://wx4.sinaimg.cn/large/94900170ly1gcauhc9h1xj20yi2ol4iz.jpg,无,无,2020-02-27 12:31,iPhone 8 Plus,372,82,82
Iw7gO2stu,所有历史人物里，真正称得上是最杰出的，在我心中只有吴起，纯粹的天才人物，样样精通，在每一个领域都是顶尖。吴起是军事天才，兵家自学，年轻时求学于曾子，虽然被逐出师门，但是曾子教出的学生中最厉害的就是他，随后求学于孔门十哲之一的卜商，儒法兵史四家集大成，成了个经天纬地的超级人才，堪称人形核弹。为什么说他是人形核弹，因为他去哪个国家，哪个国家就能在短时间内迅速强大起来。吴起第一次展露锋芒是在鲁国，当时的齐国要攻打鲁国，大概类似当年的美国打伊拉克，吴起临危受命，居然把齐国给打退了。因为遭到鲁国公猜忌，吴起去了魏国，短短几年一手创立了魏武卒，堪称历史上第一支特种部队，共与诸侯军队大战76次，大胜64次，其余不分胜负！阴晋之战以5万人对秦国50万，一举击溃，杀的血流成河。之后的几十年都堪称是秦国历史上最黑暗的时期。这一次又遭到魏国猜忌，去到了楚国，开始进行变法处理国政，短短仅5年，就让楚国成为第一强国，其它国家瑟瑟发抖，可惜也只有五年，楚王突然去世，如果再多活个一二十年，说实话就没秦国什么事了。包括之后的商鞅变法，其实也是实地考察了吴起的变法，偷师了吴起，加以改良，才有那么好的效果。吴起奇葩就奇葩在这里，一般的历史伟人，有一两个点厉害就很不错了，擅长军事的不一定擅长治理国家，擅长治理国家的不一定擅长带兵打仗，但是吴起样样全能，从练兵，军制改革，战术战略，到政务处理，国家改革，甚至纵横捭阖，外交攻心，都是最顶尖的大才。这样的实战功绩已经达到最顶尖的人，留下名声却不好，现在的历史课本也基本不提他了，主要就是个人私德有三大污点：1，杀人狂魔，吴起是卫国人，少年时期刻苦求学，却被人瞧不起，一怒之下愤而杀人，据说杀了30多个，没办法只能跑路鲁国，2，不敬孝道，在鲁国跟曾子学习期间，听到母亲去世，不回去守孝三年，曾子大怒将其逐出师门，这个在当时是很严重的罪，但吴起也没办法，在祖国犯事了，咋回去？3，最恶劣的行迹，杀妻拜将。因为妻子是齐国人，吴起为了当鲁国的将军抵挡齐国，去除鲁国君的怀疑，把老婆头砍了，换了将军做。因此司马迁对吴起的评价是：刻暴少恩。历史上也一直是说吴起才大于德，是为小人行径。所以一直以来吴起都是反面教材，我高中历史老师就经常拿他来教育我，不知道为啥他专门针对我一个。但其实看的历史越多，越感觉这其中疑点重重，三件黑历史，全部都是司马迁一人的孤证，从别的史料来分析，很难看得出这事符合逻辑和常识，尤其是杀妻求将的故事，不论是李悝还是韩非，对吴起的评价都没有杀妻一说，最多也就是讲这人好色，休妻。更重要的是，这三件事都是鲁国传出来的，而鲁国人对吴起的仇恨是数得着的，没人喜欢他，所以具体真实性如何，很难考证。                                ,无,无,无,2020-02-27 11:40,微博 weibo.com,666,135,145
Iw6MjqRR1,设计这行有大富大贵发家致富的吗？我工作经验算挺久了，反正我是闻所未闻。只知道设计到死禾几都是社畜，翻身是一种错觉。 原图,http://wx1.sinaimg.cn/large/94900170ly1gcaqwvl6owj20wo1b6qdy.jpg,无,无,2020-02-27 10:25,iPhone 8 Plus,652,90,178
Iw6HDiv77,白手起家三年纯收入过一千万，应该好好自豪，而不是瞎谦虚。创业必经无非这几个阶段：小本经营冷启动，流量口碑积累，客户转介绍，陷入瓶颈，扩大流量或者投放，死亡或者稳定经营。案例中的这家公司正处于瓶颈阶段，当务之急就是必须要扩大流量，既然这么有钱，建议上网搜索x音怎么做，自己先试试做，把市面上这类线下班都报一遍，注意必须是线下，因为这类课基本都是垃圾，但是参加的同学不少是高手，跟人好好学习。很快你的流量就忙不过来，保守估计至少能扩大五倍。不建议盲目投放，最起码在公司的利润没超过1000万之前。                原图                            ,http://wx1.sinaimg.cn/large/94900170ly1gcaqgpag30j20hs10cn37.jpg,无,无,2020-02-27 10:13,iPhone 8 Plus,560,91,110
Iw6BqvHO8,每天一条9宫格，快进快出，快速解决无聊的高发问题。 [组图共9张]原图,"http://ww2.sinaimg.cn/large/94900170ly1gcaq509yrmj20yi1xt4b5.jpg,http://ww2.sinaimg.cn/large/94900170ly1gcaq6y7ja4j20u01hcqj9.jpg,http://ww2.sinaimg.cn/large/94900170ly1gcaq6wr6y7j20u01hck4j.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcaq6z26wbj20u01hcani.jpg,http://ww1.sinaimg.cn/large/94900170ly1gcaq6zjle3j20u01hcgvm.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcaq701f17j20u012qna7.jpg,http://ww3.sinaimg.cn/large/94900170ly1gcaq70t2mlj20u01hc1ed.jpg,http://ww4.sinaimg.cn/large/94900170ly1gcaq717x1nj20u01hcdm6.jpg,http://ww3.sinaimg.cn/large/94900170ly1gcaq71k7pkj20u01hc46y.jpg",无,无,2020-02-27 09:58,iPhone 8 Plus,496,33,89
Iw6qNAsHX,胸无大志不是问题，跟家里住，存款少才是大问题。要么乖乖听话，要么独立切割，没有第三条路。跟上一个案例一样，一边开着家里送的宝马，一边觉得老妈很烦不想跟她相处。这类子女，过分了。 原图,http://wx1.sinaimg.cn/large/94900170ly1gcapehm4vdj20u01rtayc.jpg,无,无,2020-02-27 09:32,iPhone 8 Plus,1142,30,185
Iw6oxcMxi,要么上班不要开好车避免麻烦，要么实话实说我爸给我买的，要么骂人就别指望高素质直接带脏字——你都决定骂人了，还讲究啥素质？根据案例中结论，既然已经暴露，最好的方法是有人问，就实话实说，我爸给我买的，足够镇住对方。 原图,http://wx2.sinaimg.cn/large/94900170ly1gcapb3nmu7j20u01hcarf.jpg,无,无,2020-02-27 09:26,iPhone 8 Plus,1474,4,91
Iw2dCAGon,打工赚钱瓶颈大，要求高，什么名校MBA，多年职业经验，战战兢兢，上下受气，才能40岁当个大公司高管。而且还不是996，是24/7我27岁时候收入就比这些人40岁时候还高了。 原图,http://wx1.sinaimg.cn/large/94900170ly1gca6sihi7nj20u00ir78t.jpg,无,无,2020-02-26 22:48,iPhone 8 Plus,577,66,73
