微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IwbjFxXHE,#奶爸鸡汤辟谣系列#026奶爸请问一个问题，之前网上有一个新闻是说阿里巴巴里面有一个女高管，原来是做文员的，就是帮忙打杂印材料什么的，然后就顺便帮别人定在一起，整理好。从小事上面做的特别的细致，特别的好，然后被上级主管注意到了，最后做到了主管的位置，所以说做行政支持岗其实也是可以做的很好的吗？这个鸡汤概括下就是：把手头的事情做到极致，你就会自然发光，不论多么差的岗位，都能迎来春天。这个故事大概率是真的，不过这里有一个问题。大部分小白，对于：手头的事情这个概念，理解有很大偏差。我这种老油条一看就知道。手头的事情做到极致，这个事情分两类：1，把行政杂事处理好，2，把老板马屁拍好，在公司里广结善缘，人人都认识，人人都喜爱。大部分小白只能理解到第一层次，所以这辈子活该做牛做马。故事里的什么女文员，打印材料细心，帮忙，被上级注意到，最后做了主管，然后逐步升职。这里最重要的地方是“被上级注意到”，而不是“打印材料细”。没有被上级注意，你活做出花来也没屁用。而且职场上根本就不存在，我活做的好，上级自然会注意到我这种好事，想多了。上级很忙的，根本不会翻你牌子，爱干干，不干滚。这个还是我们的高层关系理论。把工作做好，效率最大化，和跟上司搞好关系，和同事搞好关系，和办公室大家搞好关系。是两码事。是两个系统，两套方法。都需要精通。希望我说的足够明白了。                原图                            ,无,2020-02-27 21:58,微博 weibo.com,465,70,59,http://wx2.sinaimg.cn/large/94900170gy1gcbb05xgi2j20jg0ax74t.jpg,无
IwbfPDtxe,拆迁户的问题，超纲了，我没这个体验。欢迎房产高手来答。 原图,无,2020-02-27 21:49,微博 weibo.com,586,21,181,http://wx2.sinaimg.cn/large/94900170gy1gcbaqbg80zj20hs12i1gc.jpg,无
IwbeE3KtF,奶爸，你总说富人先购买资产，用资产自动产生的收益，我认同这个观点，可是穷人的储蓄和资源有限，怎样才像富人那样钱生钱答：20多岁的时候，工资永远是你收入的大头。这个时候重点研究求职，升职，适度理财和储蓄——以及佛系运营自媒体。但这时候大头仍然主要是打工。我们提到的什么升维降维，商业潮流，商业常识，高层关系等等，都是紧紧围绕着这个目的。工作得当，在30岁前，有个30万到手的年入，是不难的。这时候基本就可以考虑入手房产了，小户型的。入手房产后，基本人生就能进入快车道，只要你能忍住结婚生孩，结婚还好，生娃是极其严重的负债，也是导致现在的年轻人无法致富的一个重大障碍。以上仅针对一二线城市。普通城市的人，基本家里都有点余粮，考个编制，有公积金，家里出点赶紧把房买了，然后做做基金理财，保持个固定收益，就不错了。生娃可以生，反正小地方育儿成本也不算太高，老人也都可以帮你带。以上就是大致的策略，更具体的，回头我邀请一些实操的高手来讲讲。我自己比较擅长自媒体，求职，升职，职业规划，个人IP打造，还有创业和商业经营，这方面的课我先做好了，再找实操高手谈谈基金和炒股。                                ,无,2020-02-27 21:46,微博 weibo.com,707,227,189,无,无
IwaK55GqA,现在咋啥样的垃圾都能成老师？这个老师所谓的赚钱，无非就是死工资，做兼职，没一个是资产和现金流收入。不断的打工，不断的省吃俭用买贵重物品，永远没有积蓄，买不起房，不敢创业，做不了产业，收不了租，一辈子如同无根浮萍，永远不敢辞职，仿佛条被铁链牢牢拴住的狗，过了40多体力衰弱了，干不...全文原图,无,2020-02-27 20:30,iPhone 8 Plus,1324,153,194,http://wx4.sinaimg.cn/large/94900170ly1gcb88gkdbvj20ty0vaakq.jpg,无
IwaCHDCuL,反正我注定买不起房，那不如买买奢侈品让自己开心开心。这种观点让我想起了那个著名笑话：你今年45岁了，抽烟几十年，要是不抽烟省下钱，现在都买得起法拉利了。医生你抽烟不？不抽啊。那你法拉利呢？就停在楼下，咋了？——————————————————————人生这么长，20多...全文,无,2020-02-27 20:12,iPhone 8 Plus,1338,116,131,无,无
IwavO7LU3,#奶爸鸡汤辟谣系列#025女孩收入达到多高时可以购买奢侈品？年轻女孩大部分都爱漂亮、爱赶时髦，会想偶尔买一些奢侈品点缀一下自己。但是奢侈品的价格确实不菲，女生应该在达到多少收入（或有持有多少存款）时才算合理地购买奢侈品？特别对于刚开始工作的女生来说，购买奢侈品算过分（或逞强）吗？对刚毕业踏上工作岗位的人来说，哪些牌子算得上是奢侈品？30 岁呢？40 岁呢？（比如有些人把 MK/COACH 归为奢侈，有些把 B、C、D、P、L 归为奢侈。）是应该多存钱，还是应该及时享乐？有没有什么理财建议给予年轻刚工作的女孩？这个问题是知乎上的撕逼重灾区，无数人现身说法讲理财，讲消费，讲收入，能装的B全给他们装遍了。唯独没人提到一个永恒真理，基本常识：富人买入资产，中产阶级买入自以为是资产的负债，穷人只有支出。这一句话，就把这个问题彻底定调了。为什么你这么穷，永远也没办法成为富人？因为你这傻叉只对消费感兴趣，对资产毫无概念。啥叫资产？黄金，投资，房，生意，产业，这些都叫资产。资产就是可以帮你源源不断产生现金流的东西。在没有稳健的资产之前，整天琢磨消费是一件非常愚蠢的事情。但中产就喜欢钻研这些屁用没有的玩意儿。钱花出去，不能带来任何收益，但是感觉这是人上人，精英，优秀，高贵，上流阶层，高级。狗屁，这些是上流社会的资本家，割你这傻叉韭菜搞出来的概念。所以说，中产总是买入自以为是资产的负债，就这个道理。我买了，我提升了自己，不就是资产了么？根据这条真理，我们对这个问题基本可以盖棺论定：两个选择：1，拥有一家公司，自己完全不管一个月，也可以为自己赚钱，2，两套房以上，其中一套已经有了稳定的租户。至少达到这两个标准其中之一，才可以考虑购买奢侈品。按这个道理来说，普通人可能一辈子都没法购买奢侈品，岂不是很悲催？是的，一辈子都没法购买奢侈品，但一点都不悲催。人生最大的悲催是韭菜根都被薅秃了。为什么网上流行各种什么“年薪百万”过的也很惨压力太大的故事？因为这些傻叉自以为是的认为有死工资，打工当社畜，就可以过的很好了，可以奢侈了。车卖掉，打车或者公交地铁上班，孩子不要上贵族学校，就上普通幼儿园，老婆不要在家，让她出去上班，房子买小点，不要背那么严重的债务，老婆不要买奢侈品，已经有的赶紧卖掉，出国游断掉，日常普通生活，迪卡侬优衣库足够，千方百计想办法省钱，有第一点积蓄和稳定经济状态，立刻把房抵押出去，然后买第二套房，租出去，收到租金，租偿贷。以此不断复制，才能慢慢成为真正稳定的大产阶级，而不是整天唯唯诺诺，一有裁员就心惊肉跳，天天24小时哭泣，随时可能压力过大崩溃跳楼，第二天上社会新闻。打工社畜，没有资产，自以为是的进行高消费，这这群所谓高收入傻叉们悲惨人生的根源。                原图                            ,无,2020-02-27 19:55,微博 weibo.com,1795,640,353,http://wx1.sinaimg.cn/large/94900170gy1gcb7gbn7jgj20gx0cpn02.jpg,无
IwajxvwSR,#奶爸鸡汤辟谣系列#024好看女孩自带烧钱属性。本鸡汤为假。好看的女孩自带省钱属性：皮肤天生白皙光洁，不需要花钱买太多护肤品化妆品，头发天生黑亮发量多，不需要花钱植发护发素，身材好，天生臀翘胸大腰细，随便练两周马甲线就出来，不需要浪费钱报私教课，穿什么衣服都好看，不需要费尽心机和时间琢磨搭配和买大牌服饰。只有本身不那么好看，又想变好的女孩，才要烧钱。皮肤不太好，花钱护理，头发不太好，花钱护理和植额角，身材不太好，花钱运动。颜值气质不佳，花钱买昂贵衣物包首饰，打理形象。但是变美这种事，终究是有极限的，靠外力，不论如何也不可能成为大美人。不要指望靠外力。良好作息，早睡早起，适度运动，充足营养，保持好苗条有力，学会基本的平价穿搭，外表整洁干净，大方得体即可。一边节衣缩食的买着昂贵的神仙水，一边熬夜导致内分泌失调满脸大油光，正在做这种事的人，不在少数。最重要的是：有钱了，可以肆意追求变美，没钱，就接受自己，做好预期管理，想办法变有钱，再追求美。这个逻辑不能反过来。要量力而为，这是最重要的。人生最糟糕并不是不美，大家都是颜值普通人。最糟糕的是没继续，没存款，全部都是大牌收割完毕，一丁点抗风险能力都没有。朴素也是美，爱惜自己就是美，不要把花钱无度，和变美捆绑在一起。量力而为。                原图                            ,无,2020-02-27 19:25,微博 weibo.com,1782,183,245,http://wx4.sinaimg.cn/large/94900170gy1gcb6kj9yqaj20dw0dwtdv.jpg,无
微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IjdvMbxVE,[置顶]亲爱的网友你好呀，欢迎你关注恶魔奶爸。这里是一位教育问答类博主，开微博主要是为了分享一些浅薄的人生经验，涉及工作，学习和生活的方方面面。期待未来我们可以互相学习，多多交流，共同进步。为了让您更好的理解和运用实践本博的一些方法经验，欢迎阅读以下的自我介绍：1，本博分享的重点内...全文 [组图共4张] 原图 ,无,2019-12-04 15:39,iPhone 8 Plus,1896,154,268,"http://ww1.sinaimg.cn/large/94900170gy1g9kqit2qh5j209k09kt8o.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd6sjjkj20u01hc7lh.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd7bic1j20ku112ajy.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd8a0t4j20u01hck6b.jpg",无
Iwk4Sfx91,刚有个男性网友和我探讨了一下，女孩要不要结婚的问题。大概意思就是，我收入高，给的建议有点“不切实际”，大部分女生还是要结婚的。靠婚姻才能实现生活安居乐业，和经济方面的宽裕。我知道很多博主都这个观点。这个观点有个问题就是：这件事成立的前提是，你得是美女。不是美女，靠婚姻实现经济方面的宽裕，完全不可能。可大部分人恰恰不是美女。本博的性质以前说过很多次了，这里再重申一遍：假设我们简单粗暴的把人分为上中下三个层次。上是不需要帮助的，也没必要看我这些玩意儿，你们这些人自然会过的好。不管是家里有钱的，脑子聪明的，能力强的，还是长的漂亮的。再坏也不会坏到哪去。下其实看了也没用，因为是身边环境的问题。当然，正处于下的人，基本也没这个心思还刷微博。大部分人，都是普通人，都是不美不丑不高不帅不穷不富的普通人。也就是看到这条微博的你和我。恰恰也就只有普通人，才有帮助的意义——这就是教育的最大价值所在。普通人的遭遇，会随着人生遭遇和运气的变坏，而无限的变好或者变坏。这个时候哪怕有一段话，给ta一些启发，都会让ta的人生实现正向循环。这是本博最大的意义。而普通人，不能乱参考别人意见，尤其是人生规划类问题。事实上，我都不敢给别人规划——你看我从不劝人结婚，更不劝人丁克。我只是提供方法，你想结婚，我告诉你找到理想伴侣的方法，你不想结婚，丁克，我告诉你抗风险的办法。方法，比观点和建议要重要百倍。尤其是涉及颜值因素的问题，大部分人其实都是既自大又自卑的，经常看着自己觉得自己超好看，偶尔又非常不自信极度掩饰。明明是个普通人，却老是觉得自己美若天仙优秀到了骨子里。因此对外界的境遇抱有不切实际的幻想。我觉得点破这些真相，不是啥坏事。比如今天那条：“大部分人干的也不好，嫁的也很惨。”这是事实，承认事实没啥不好的。                                 ,无,2020-02-28 20:16,微博 weibo.com,1128,81,169,无,无
IwjSjA901,主业没做好就别想什么副业了。销售业绩最重要，没别的！  原图 ,无,2020-02-28 19:45,iPhone 8 Plus,162,8,37,http://wx1.sinaimg.cn/large/94900170ly1gcccs0eltxj20u01jutu2.jpg,无
IwjPvxQQ8,如何进入四大做数据分析方面的咨询。总结下就是英语好，有人脉推荐。  原图 ,无,2020-02-28 19:39,iPhone 8 Plus,285,45,39,http://wx2.sinaimg.cn/large/94900170ly1gccckrqqcfj20u02sy7wh.jpg,无
IwjMY6bdZ,每个大公司都是一座巨大的资源宝库，所需要的仅仅是微笑打招呼，送零食送特产，团建积极活跃，广交朋友加微信而已。在这种好地方还抱怨圈子就巴掌大，真的需要反思的。  原图 ,无,2020-02-28 19:32,iPhone 8 Plus,210,40,44,http://wx3.sinaimg.cn/large/94900170ly1gcccd6pkzkj20yi2201ky.jpg,无
IwjGlC3ZC,答应我年轻人，请永远不要借网贷🙏  原图 ,无,2020-02-28 19:16,iPhone 8 Plus,608,31,152,http://wx1.sinaimg.cn/large/94900170ly1gccbxdna3pj20u01rie1z.jpg,无
IwjzPoazb,投资界有两尊大神，徐翔和刘强。前者坐牢后者跳楼。这两人都不是普通人，前者共220亿净资产，100多亿现金，后者也有几十亿。为什么会有这个下场，就是不知足，想要更多，选择不稳定，想走风险更大更赚的路线。他们不是冒险才有的几百亿，而是有了几百亿后，还是去冒险。很多人都这样，哪怕几十亿了，也不去做一些稳定的营生，不去降风险，而是盲目拥抱风险。徐翔和刘强都是绝对的人中龙凤，智力能力至少是前0.000001的那种，一千万人里也就出一个，他们面对风险都毫无抵抗力，你觉得你呢？想从体制跳槽，不算风险大。盲跳，没方向，就想跳，这是最危险的。大部分人应该先知足，感恩自己的待遇，以你们的能力有这样不错了，不要让现状变坏，才最重要。                  原图                             ,无,2020-02-28 19:00,iPhone 8 Plus,298,19,68,http://wx2.sinaimg.cn/large/94900170ly1gccb934zpgj20yi1wodv0.jpg,无
Iwjw8Eqw3,广结善缘的重点不在届，而在善。截图里的属于孽缘，我根本不会想着处好关系，而是根本就不处关系，装傻充愣。  原图 ,无,2020-02-28 18:51,iPhone 8 Plus,346,19,28,http://wx3.sinaimg.cn/large/94900170ly1gccb573lq7j20u01hc1bh.jpg,无
IwjuIAloN,兴趣爱好说白了就是乐子，玩，消遣，喜欢可以。因为兴趣爱好父母，产生了自己有能力很优秀的错觉就不好了。成年人的社会不看你会多少事情，只看你把某一件事情做的有多好。比如戏剧街舞健身英语，玩玩没啥用。如果有个上财同学这些都不会，但专业特别好，财务和金融专精，那么他毕业注定会秒杀你的。想上进想飞黄腾达，重点不是兴趣爱好，而是某一或两项项技能专精。另此人发给我照片了，并不是大肌霸，建议不要认为自己“会健身所以优秀”。                  原图                             ,无,2020-02-28 18:47,iPhone 8 Plus,274,29,40,http://wx3.sinaimg.cn/large/94900170ly1gccb39a49aj20u02944qp.jpg,无
IwjaUghfl,站着工作，我发现效率奇高。  [组图共2张] 原图 ,无,2020-02-28 17:58,iPhone 8 Plus,365,33,139,"http://ww4.sinaimg.cn/large/94900170ly1gcc9obelyqj20u01hcalr.jpg,http://ww1.sinaimg.cn/large/94900170ly1gcc9p4ov9hj22c0340b29.jpg",无
Iwj95DvkB,成年子女和父母财务不相互独立的危害，唉……  原图 ,无,2020-02-28 17:54,iPhone 8 Plus,796,13,128,http://wx3.sinaimg.cn/large/94900170ly1gcc9k7n8gpj20u01hc1a0.jpg,无
Iwj6ZDZEk,working with people sucks  原图 ,无,2020-02-28 17:49,iPhone 8 Plus,224,3,16,http://wx2.sinaimg.cn/large/94900170ly1gcc9eiewdwj20u00wvwrd.jpg,无
Iwj5dr83a,思考问题过于宏观的人，其实都是在逃避当下，不思考眼前，甚至眼前有哪些事可以做都不知道，不分析。  原图 ,无,2020-02-28 17:44,iPhone 8 Plus,308,51,35,http://wx4.sinaimg.cn/large/94900170ly1gcc98syuppj20yi43n7wh.jpg,无
IwiYHuMQD,刘銮雄太太扫货，半小时消费六位数，相当于半小时挑了只爱马仕呗。为啥她们家这么能挥霍？看一个数据：刘銮雄在大陆的物业出租，每年大概是4000-5000万元。这些是刘的公司，股票，房产，珠宝之外的被动收入。他就算全部花光，也根本不心疼，这不是血汗钱，有跟没有无所谓。他年轻时候开风扇厂，身家过亿一件4000块大衣舍不得买，因为那时候收入渠道只有一个，工厂贸易，卖货得利，剩下的要扩大再生产，赚的都是血汗钱，都必须投入时间和精力。只要是你投入时间和精力，而不是自动生产的收入，那么都应该珍惜，一定要节俭。                                 ,无,2020-02-28 17:28,微博 weibo.com,592,89,70,无,无
IwiVpm3kO,婚姻和爱情，最重要的就是孔子那句话：君子和而不同，小人同而不和。不能要求对方和自己一致。兴趣爱好相同，谈天说地愉快，人品端正善良，这点就够了。人生志向不同，性格截然不同，这些是可以的相处的。前提是，你要有容人之量，更重要的是，你要想办法让对方也有容人之量。比如刚才发的案例，男生很上进，督促着女生跑步，这真的不好。上进，或者不上进，不是最重要的。最重要的是，君子和而不同，要能包容，跟上进不上进没关系。谈恋爱得以兴趣爱好为导向，因为兴趣爱好是你俩生活的基础。如果你说跑步是你的兴趣爱好，你希望找个爱跑步的女朋友，那正常，如果你说跑步是为了上进，这他娘的谁的兴趣爱好会是上进啊。我自认为自己已经够上进的了，也还算喜欢健身，但我不喜欢上进，我喜欢工作。还有更重要的：你喜欢工作，你怎么让不喜欢工作的对象，不烦你，不作你，理解你，找到个平衡，你不喜欢工作，你怎么让上进的对象，不烦你，不作你，理解你，找到个平衡。上进的人，指点不上进的对象，去逼着ta看书，学习，跑步，进步，我觉得这也是作，跟不上进的人，拉着爱工作的对象，逼着ta陪自己看电影，逛游乐场，玩。本质上没啥区别。想解决这个问题，得有点手腕和技巧，要想办法沟通。                                 ,无,2020-02-28 17:20,微博 weibo.com,928,192,109,无,无
IwiFck600,提结婚就是图穷匕见的时候，差不多也就该分手了。  原图 ,无,2020-02-28 16:40,iPhone 8 Plus,2368,19,229,http://wx1.sinaimg.cn/large/94900170ly1gcc7hab0icj20u02spwxw.jpg,无
IwilfrBkY,说血亲最可靠的人，真的太乐观了……而且弄错了重点，我宣扬的从来都不是绝育丁克。我说的是，丁克如何抗风险，找到正确的保障途径。我不仅教丁克抗风险，我还教如何育儿如何培养有子家庭如何抗风险。丁克从未对有孩子的人指手画脚，很奇怪为什么养孩子的非要对丁克喊打喊杀……至于生不生孩子，那来去自由，但是不建议把对孩子的利用和利益这么赤裸裸表达出来，互联网是有记忆的，我截图等你以后孩子长大了发过去，明确告诉ta你爸你妈生你就是为了他们老了你能伺候他们，就是为了利用。现在抬杠这么欢，回头小心家里翻。                                 ,无,2020-02-28 15:51,iPhone 8 Plus,1379,66,273,无,无
Iwi8UqxwJ,上午发了条嫁得好还是干得好的微博，引起了一些没啥必要的纷争，我删除拉黑了一些人，但也发现了一些比较严肃的问题。有些年纪稍大，又有资产的女性，来咨询婚姻和生育问题。表面看这是婚姻问题，但实际上这是人生风险和资产安排的问题。有一条基本的常识，很多人并不知道，那就是养儿是严重的负债，而且养儿防老是一条非常扯淡的谎言和骗局。这基本是一个巨大的全民性的庞氏骗局。生孩子基本都是为了满足人类延续后代的生殖冲动，生物性本能，仅此而已。这方面的利益，已经没有了。在农耕时代，你儿子多，相当于家里多了好几头免费的大牲口，帮你开荒耕地，你家的日子越来越红火。但是市场经济后，农村这种好事越来越少了，人伦惨剧反而在不断增加，老无所依的人越来越多。他们的孩子多，为什么晚年过的这么惨？因为没钱。有钱人，现在都去了养老院。养老院和敬老院是两码事，敬老院是公家福利机构，环境很差，基本就是有口吃的不错了，养老院是高端社区养老机构，老人在里头过的非常不错，基本有口皆碑。我在苏北农村，这里人的思想观念不算先进，但到现在，老年人也已经公认：养儿防老这件事，不可靠。老年人现在的身体素质越来越好，医疗条件越来越好，晚年90%以上时间，都是有清晰的思维和意识的，完全可以指派身边人做事，服务不周到直接投诉。到了最后那几年，你已经没什么清晰意识了，过的咋样其实也无所谓。问题在于，大量的老年人，为了最后那不清晰的几年，浪费了几十年时间，在儿子闺女家里受气，委屈，带孩，给钱，一生心血全部白费。傻子都知道这笔账不划算。孝子终究是极少数人。所以很多年纪稍大，有资产，自己过的不错，结婚意愿又不是很强的女性，注意这几点：1，分清楚自己是真实的生殖冲动还是外部洗脑，大方承认自己的欲望，其实没啥，好事。如果确定不是外部洗脑，而是真实的生殖冲动，渴望有后代延续自己的基因，又找不到合适的结婚对象，那就考虑非婚生。法无禁止即可，非婚生子女也可以上户口。不要用传统老旧思想看待这件事，非婚生子女也可以教育的很好，大方说清楚即可。你要这么想：非婚生子女，看上去不太一样，但是比你结婚了，感情破裂，婚姻失败，财产分割琐碎，闹得昏天暗地，最后留下个孩子带，要好多了。清净舒爽。2，如果没有生殖冲动，那就结婚随缘，关键是一定要做好风险预防。事业，保险，理财，多元化配置资产。这些不用我说了吧。有个女生谈了很多自己对婚姻和爱情的观点看法，我说了句房贷还没还清不建议考虑这些有的没的，被旁观者喷了个狗血淋头，说人就没有追求幸福的自由权利了？对爱情和婚姻的看法再睿智，再深刻，也丝毫不能减轻你人生一丝一毫的风险，对你的幸福感没有半点的增加。纸上谈兵最容易了，除非你能持续输出变成情专大V，赚到钱，否则这些所谓的洞察思考，毫无价值。还上房贷，抓紧时间有第二套房，有固定租金，提高收入，有多元资产配置，这些方法和对人的素质要求，比情情爱爱要高的多，更有技术含量，对你的人生幸福帮助很大很大。这才叫追求幸福。追求金钱，幸福才能跟着你。不要把理财和风险防控问题，变成无聊的情感问题。以上建议仅对“有资产”的女性适用，穷困女生不太适用。祝大家都能尽快有资产。                  原图                             ,无,2020-02-28 15:21,微博 weibo.com,1744,360,396,http://wx2.sinaimg.cn/large/94900170gy1gcc552cgubj21hc0u0b29.jpg,无
IwhM750WQ,有个高三的小朋友问职业规划，谈电力和医学，待遇比较，如何选择。很多网友说这个小朋友有出息，懂得多，眼光远。这是错误的。起码我亲身经历没见过这样的人有什么出息。人的未来是不可预测的，只能结合一下眼前，抓住现在。举个例子，现在距离高考还有三四个月，这个小朋友思考的并不是如何提分，怎么找优秀老师帮自己把分数提上去，而是想着未来如何“选择”。你看，放弃现在的人，怎么可能有未来？有的网友说自己那时候浑浑噩噩，什么也不想，对未来没任何规划，这个小朋友比自己强多了。这个其实不过是混沌死和清醒死的区别。后者更痛苦，死的更惨。事实上，以我见过的成功人士倒推，不论是网易的高管，大神级的程序员，叱咤风云的生意人巨富。他们在年轻的时候都浑浑噩噩，想很多，但没办法确定自己要做什么。年轻人不迷茫那叫年轻人吗？想的太具体清晰，大学都没考上，就已经定死了未来是电力工作还是医生，这是啥好事？一样都是浑浑噩噩，为什么他们能成事，你们却不能？因为在年轻时候，他们就擅长成事，你们却擅长无所事事啊。比如进大一了，学习压力减轻，大部分人都会有一个真空期，很多人就随大溜，别人去社团我也去，别人入党我也去，别人看韩剧看综艺我也去，别人去图书馆我也去，别人睡懒觉我也去。一边焦虑恐慌，一边嫌弃自己环境，一边和自己的环境高度同频。但是成功的人真的不是这么想的。拿我去年刚认识的一哥们举例，他少年时候根本不知道自己未来要做什么工作，擅长什么，对什么感兴趣，这些他都不知道——迷茫。他听说做新东方老师挺赚钱的（那时候确实赚），他就千方百计的想去新东方，于是努力学英语，并且去新东方做低薪的助教，观察自己跟的老师们偷师学艺。慢慢的，他就成了新东方老师，再成了名师，赚了很多钱。我认识的网易的大神级程序员也是一样，进了大学无所事事，也不是这专业的，不知道干啥，听说程序员赚钱，那就刻苦努力学，完事儿了。可你们呢？一边觉得有钱真好，一边觉得我眼前的事情都没意义，不想做，一边浪费时间或者随大溜吧。20左右时间很短，5年一晃而过，最后啥也不会，啥也不懂。眼前事都抓不好，毫无行动力，谈啥有能力有远见？基本上，成功人士在少年时候都有个共同点：1，没啥具体清晰的目标，不可能定位到具体做什么工作，而是一个模糊但极度强烈的企图心：想过好日子，赚大钱，2，看看眼前有哪些自己能做的事，比如我，当时就一心学英语，为啥不写编程？因为我笨学不会。所以我做了最擅长的，英语，演讲，口才，吹逼。3，立刻想办法投入行动，坚定的努力，哪怕和身边人不一样。企图心强烈，擅长搜集情报信息，行动力强悍，意志力坚定。就这四条共同点。如果没有，当条咸鱼也不错。人生的痛苦不是因为你活的差，其实大家都吃饱穿暖活的挺好。痛苦是因为你的能力配不上自己的野心，那就认清自己，接受自己，把野心降低，也挺好的。                  原图                             ,无,2020-02-28 14:25,微博 weibo.com,1041,357,148,http://wx4.sinaimg.cn/large/94900170gy1gcc3inltnpj21hc0u0u0p.jpg,无
IwhAep1yS,如何同时提高英语和口才？网上有很多名人演讲，最简单的就是大学毕业演讲，什么乔布斯的求知若愚求学若渴，什么比尔盖茨的伸出手改变这个世界，至少有几百篇，稿子原文也很容易找，打印出来，生词背上，对着视频反复模仿，不仅模仿英语还模仿表情，肢体语言，反复模仿直到可以脱口而出，胸有成足，一般一篇文章朗读50遍，听50遍，模仿50遍，基本就能达到了，搞定20到50篇，英语和口才都会进步。                  原图                             ,无,2020-02-28 13:55,iPhone 8 Plus,726,477,81,http://wx4.sinaimg.cn/large/94900170ly1gcc2kvlohoj20u01hc497.jpg,无
IwhuT9F6G,简单概括下就是工作没做好，自己不努力，但是觉得不是自己的问题，是没好环境逼迫自己进步，可是去好环境又害怕，又担心，留小环境，又不甘心，觉得没人逼迫自己“进步”。大家看看，冷嘲热讽就算了，题主已经得到了惩罚，大家引以为戒吧  原图 ,无,2020-02-28 13:42,iPhone 8 Plus,1628,81,257,http://wx1.sinaimg.cn/large/94900170ly1gcc2ae2srxj20yi6i6npd.jpg,无
IwgXH29DE,择业问题大概占了后台提问的50%左右，这些问题我统统没回。啥叫择业问题，就是我收到了2-3个offer，应该选哪个？我只回复了一些巨额offer的选择问题。比如自己开店年营收千万了，主职也就二三十万，要不要辞职全身心创业？比如80万的offer和110万的offer选哪个？这是因为高收益必然带来高风险，对于这些“富贵”的人来说，选择不慎的风险很高，确实需要有个人来帮忙排查下，我未必能直接帮人做选择，但是我分享下我的思路，我的分析方法，他们都能有收获。问题在于，绝大部分过来问offer选择的人，他们的offer，基本就是四五千，六七千，九千一万的。说难听点，就是两三泡屎里，选择一泡不臭的。有意义吗？其实没啥意义。包括变相的择业问题：没考上研究生，要不要二战，还是去找工作？找工作是先找合适的，还是随便找一份再说？本质也一样。二战尽管去考，反正大概率也考不上，工作尽管去找，反正大概率也找不到好的。都是两泡屎里挑一泡不臭的，有意义吗？其实没啥意义。那什么才是有意义的？我分享过很多很多的分析方法，分析工具，反反复复来问择业的同学，要么是没看，要么是看完了也不会分析。所以最后只能问出“鸽子为什么这么大”的不动脑问题。不动脑，不认真分析自己的选择，让别人动脑，这种人的职业生涯是很危险的，我也不敢帮人瞎选，一旦选错了，那我这辈子都沾上了一个致命黑粉给我寄刀片。所以只能再三强调基本的分析方法：1，考虑要不要考研，要不要考博的人，无所谓，尽管去考，反正劝也劝不住，你说你不知道要不要去考，那也无所谓，尽管去纠结，没人能帮你解决纠结，我的各位粉丝老爷都看厌了，这种心理心态属于典型的垃圾问题。最多纠结一年，要么你真考上了，要么你没考上，不论考或者没考，你最终还是要找份工作养活自己，最终都要思考求职问题，那就把我置顶微博里的简历和面试的方法看看，把B站里有关职业规划的视频学学，没了。你的人生就这么点问题，现在纠结是吃饱了撑的。2，思考怎么择业的人，不要去想什么前途。什么叫智慧？智慧就是正确的做选择。什么叫正确的做选择？就是不单单评估选项，更重要的评估自身。评估选项是没有意义的，因为你问哪个工作能让你收入高，前途好。我都说了，几泡屎都很臭，挑出一泡不臭的有意义吗？再说了，你不擅长做，就把你塞进03年的阿里，12年的滴滴，你照样是被开除，而不是留到现在拿原始股身价过亿啊。最重要是要去评估自己，真正沉下心，认真仔细的阅读JD，具体工作细节，看看工作内容是不是自己能够了然于胸，全盘规划，有条不紊上去就做的，还是很陌生，不知道干嘛，也不知道这个工作的意义和地位作用在哪的。任何一个红海行业，只要你能做到了然于胸，全盘规划 ，信心满满，那么都能杀出一片天。比如我说培训教师不好，我自己就是培训教师，我也杀出来了啊，我说会计不好，可以也有人杀出来了啊。只要真正的擅长，就能够做出来的。工作技能是个严肃的事情，大部分人都没有深入思考。如果你真的深入思考了，会发现自己掌握的情报根本不够多，选项了解的根本不够透彻。你需要大量搜索，问人，把这份工作仔仔细细的挖出来，才能得到合理评估。这就是你自己的工作的，自己完成。祝好~                  原图                             ,无,2020-02-28 12:20,微博 weibo.com,680,180,87,http://wx2.sinaimg.cn/large/94900170gy1gcbzxe6rmoj20u30u0x6q.jpg,无
IwgJF6PYY,高三学生说电力行业平均18万，医生平均20万。电力系统家里有人我能理解，医生平均薪水这个结论咋得出来的我很奇怪。我大学同学不少医生，我是没见过刚毕业前两年这么高的  原图 ,无,2020-02-28 11:46,iPhone 8 Plus,1235,34,509,http://wx2.sinaimg.cn/large/94900170ly1gcbyvog969j20hs0vkq86.jpg,无
